time	V(AC_OUT_N)*Id(M3)+V(N009)*Ig(M3)
5.870354884410606e-003	-2.125268e-004
5.978926312982030e-003	-2.346058e-004
6.087497741553454e-003	-2.553536e-004
6.196069170124878e-003	-2.747190e-004
6.417497741553441e-003	-3.086800e-004
6.638926312982003e-003	-3.365211e-004
6.860354884410566e-003	-3.582429e-004
7.081783455839128e-003	-3.738909e-004
7.303212027267691e-003	-3.835551e-004
7.524640598696253e-003	-3.873702e-004
7.746069170124815e-003	-3.855157e-004
7.906069170124808e-003	-3.818915e-004
8.107497741553371e-003	-3.739607e-004
8.308926312981935e-003	-3.635148e-004
8.510354884410498e-003	-3.507697e-004
8.711783455839062e-003	-3.359409e-004
8.913212027267624e-003	-3.192429e-004
9.114640598696188e-003	-3.008896e-004
9.316069170124751e-003	-2.810943e-004
9.337497741553321e-003	-2.789775e-004
9.358926312981892e-003	-2.768529e-004
9.380354884410462e-003	-2.747206e-004
9.401783455839034e-003	-2.725810e-004
9.423212027267603e-003	-2.704343e-004
9.444640598696175e-003	-2.682806e-004
9.466069170124745e-003	-2.661202e-004
9.486069170124744e-003	-2.640988e-004
9.496069170124744e-003	-2.630863e-004
9.523212027267599e-003	-2.603314e-004
9.550354884410455e-003	-2.575691e-004
9.577497741553311e-003	-2.547998e-004
9.604640598696168e-003	-2.520241e-004
9.631783455839024e-003	-2.492422e-004
9.658926312981880e-003	-2.464548e-004
9.686069170124736e-003	-2.436622e-004
9.731243839922002e-003	-2.390048e-004
9.776418509719269e-003	-2.343424e-004
9.821593179516535e-003	-2.296771e-004
9.866767849313802e-003	-2.250109e-004
9.911942519111068e-003	-2.203457e-004
9.957117188908335e-003	-2.156834e-004
1.000229185870560e-002	-2.110261e-004
1.000345640553333e-002	-2.109061e-004
1.000469326621906e-002	-2.107781e-004
1.000560123205686e-002	-2.106833e-004
1.000684431934439e-002	-2.105533e-004
1.000819690453287e-002	-2.104119e-004
1.000950798013487e-002	-2.102751e-004
1.001071169246377e-002	-2.101497e-004
1.001301269618791e-002	-2.099101e-004
1.001351736422065e-002	-2.098575e-004
1.001458103381291e-002	-2.097463e-004
1.001645015165475e-002	-2.095505e-004
1.002134015723882e-002	-2.090378e-004
1.003300850264449e-002	-2.078145e-004
1.003881223357568e-002	-2.072061e-004
1.004406348178876e-002	-2.066552e-004
1.005667429272091e-002	-2.053318e-004
1.006347676840183e-002	-2.046183e-004
1.007347676840183e-002	-2.035701e-004
1.008347676840183e-002	-2.025227e-004
1.009347676840183e-002	-2.014761e-004
1.010347676840183e-002	-2.004305e-004
1.011347676840183e-002	-1.993860e-004
1.012347676840183e-002	-1.983427e-004
1.013347676840183e-002	-1.973003e-004
1.014347676840183e-002	-1.962592e-004
1.015347676840183e-002	-1.952192e-004
1.016347676840183e-002	-1.941804e-004
1.018347676840183e-002	-1.921066e-004
1.020347676840182e-002	-1.900380e-004
1.022347676840182e-002	-1.879748e-004
1.024347676840182e-002	-1.859173e-004
1.026347676840182e-002	-1.838657e-004
1.029347676840182e-002	-1.807997e-004
1.032347676840182e-002	-1.777482e-004
1.035347676840182e-002	-1.747118e-004
1.037417742273349e-002	-1.726254e-004
1.037423247275379e-002	-1.726198e-004
1.037426883157254e-002	-1.726162e-004
1.037429267909226e-002	-1.726138e-004
1.037431652661198e-002	-1.726114e-004
1.037434037413170e-002	-1.726090e-004
1.037436422165142e-002	-1.726066e-004
1.037438806917114e-002	-1.726042e-004
1.037441191669086e-002	-1.726018e-004
1.037443576421058e-002	-1.725994e-004
1.037448983741014e-002	-1.725939e-004
1.037451438646869e-002	-1.725915e-004
1.037456599924165e-002	-1.725863e-004
1.037466410821660e-002	-1.725764e-004
1.037476221719154e-002	-1.725665e-004
1.037486032616649e-002	-1.725567e-004
1.037495843514143e-002	-1.725468e-004
1.037505654411637e-002	-1.725370e-004
1.037515465309132e-002	-1.725271e-004
1.037525276206626e-002	-1.725172e-004
1.037548640422877e-002	-1.724937e-004
1.037601390756411e-002	-1.724407e-004
1.037713235323224e-002	-1.723282e-004
1.037828004268426e-002	-1.722129e-004
1.037942773213628e-002	-1.720975e-004
1.038057542158830e-002	-1.719822e-004
1.038172311104031e-002	-1.718669e-004
1.038287080049233e-002	-1.717517e-004
1.038401848994435e-002	-1.716364e-004
1.038516617939637e-002	-1.715212e-004
1.038609483830061e-002	-1.714301e-004
1.038795215610910e-002	-1.712416e-004
1.038896526156257e-002	-1.711400e-004
1.039057746313047e-002	-1.709789e-004
1.039110025172366e-002	-1.709259e-004
1.039119756065856e-002	-1.709163e-004
1.039135783177402e-002	-1.709000e-004
1.039147033384587e-002	-1.708887e-004
1.039155816830116e-002	-1.708799e-004
1.039179841260202e-002	-1.708558e-004
1.039203710412736e-002	-1.708319e-004
1.039232390677878e-002	-1.708032e-004
1.039241470945836e-002	-1.707941e-004
1.039249724843360e-002	-1.707858e-004
1.039261025976995e-002	-1.707745e-004
1.039278995073196e-002	-1.707564e-004
1.039296964169397e-002	-1.707384e-004
1.039314933265598e-002	-1.707204e-004
1.039332902361799e-002	-1.707024e-004
1.039350871458000e-002	-1.706844e-004
1.039368840554201e-002	-1.706664e-004
1.039386809650402e-002	-1.706484e-004
1.039445832906886e-002	-1.705892e-004
1.039511907158177e-002	-1.705230e-004
1.039697475665021e-002	-1.703371e-004
1.039788198582496e-002	-1.702463e-004
1.039828156381200e-002	-1.702062e-004
1.039837252615728e-002	-1.701971e-004
1.039844551010522e-002	-1.701898e-004
1.039852319756292e-002	-1.701820e-004
1.039878933993216e-002	-1.701554e-004
1.039889860574024e-002	-1.701445e-004
1.039907726456440e-002	-1.701266e-004
1.039927088310455e-002	-1.701072e-004
1.039958691447038e-002	-1.700755e-004
1.039994083680356e-002	-1.700401e-004
1.040032964595852e-002	-1.700012e-004
1.040076284637405e-002	-1.699578e-004
1.040124829249881e-002	-1.699092e-004
1.040180234520877e-002	-1.698538e-004
1.040243036784661e-002	-1.697910e-004
1.040314459195661e-002	-1.697195e-004
1.040394950820061e-002	-1.696390e-004
1.040487335580239e-002	-1.695466e-004
1.040595460015627e-002	-1.694384e-004
1.040725465977346e-002	-1.693085e-004
1.040886411453649e-002	-1.691476e-004
1.041093399628170e-002	-1.689408e-004
1.041289385392611e-002	-1.687450e-004
1.041734693604334e-002	-1.683005e-004
1.042501465352046e-002	-1.675361e-004
1.043060035634211e-002	-1.669799e-004
1.043618605916376e-002	-1.664243e-004
1.044177176198541e-002	-1.658694e-004
1.044735746480707e-002	-1.653151e-004
1.045294316762872e-002	-1.647614e-004
1.045852887045037e-002	-1.642084e-004
1.046411457327202e-002	-1.636560e-004
1.049411457327202e-002	-1.606998e-004
1.051697171612916e-002	-1.584598e-004
1.053982885898631e-002	-1.562313e-004
1.056268600184345e-002	-1.540145e-004
1.058554314470059e-002	-1.518095e-004
1.060840028755773e-002	-1.496165e-004
1.063125743041487e-002	-1.474357e-004
1.065411457327201e-002	-1.452673e-004
1.071411457327201e-002	-1.396347e-004
1.077411457327201e-002	-1.340971e-004
1.083411457327201e-002	-1.286575e-004
1.089411457327200e-002	-1.233186e-004
1.095411457327200e-002	-1.180829e-004
1.101411457327200e-002	-1.129531e-004
1.107411457327200e-002	-1.079312e-004
1.113125743041485e-002	-1.032039e-004
1.118840028755771e-002	-9.861726e-005
1.124554314470056e-002	-9.416914e-005
1.130268600184342e-002	-8.985741e-005
1.135982885898627e-002	-8.567995e-005
1.141697171612913e-002	-8.163468e-005
1.147411457327198e-002	-7.771955e-005
1.148411457327198e-002	-7.760363e-005
1.149411457327198e-002	-7.885326e-005
1.150411457327198e-002	-8.472257e-005
1.151411457327198e-002	-1.062471e-004
1.152411457327198e-002	-1.803111e-004
1.153411457327198e-002	-4.233481e-004
1.154271804405634e-002	-9.917829e-004
1.154784823833043e-002	-1.615429e-003
1.155150372644125e-002	-2.189146e-003
1.155444399555982e-002	-2.650193e-003
1.155704317478487e-002	-2.926842e-003
1.155935172639676e-002	-2.905879e-003
1.156131422842018e-002	-2.536243e-003
1.156292040724470e-002	-1.892259e-003
1.156381242450799e-002	-1.391836e-003
1.156436319984828e-002	-1.032990e-003
1.156479007184325e-002	-7.340899e-004
1.156511806088460e-002	-4.984525e-004
1.156541621039681e-002	-2.846071e-004
1.156581200381339e-002	-9.338667e-006
1.156595272152589e-002	8.424206e-005
1.156605459826023e-002	1.500733e-004
1.156611205834230e-002	1.861490e-004
1.156615965602590e-002	2.144086e-004
1.156619693245854e-002	2.338191e-004
1.156624496552833e-002	2.513981e-004
1.156629532919650e-002	2.600614e-004
1.156634238542212e-002	2.626446e-004
1.156639742013195e-002	2.638582e-004
1.156646656817543e-002	2.654990e-004
1.156659627733779e-002	2.693944e-004
1.156685569566252e-002	2.777991e-004
1.156723520978839e-002	2.905226e-004
1.156799423804013e-002	3.175772e-004
1.156951229454361e-002	3.789496e-004
1.157254840755057e-002	5.363371e-004
1.157862063356450e-002	1.044948e-003
1.158862063356450e-002	2.843574e-003
1.159862063356450e-002	6.736570e-003
1.160862063356450e-002	1.387433e-002
1.161862063356450e-002	2.523036e-002
1.162862063356450e-002	4.143966e-002
1.163862063356450e-002	6.283786e-002
1.164862063356449e-002	8.956150e-002
1.165862063356449e-002	1.216199e-001
1.166862063356449e-002	1.589285e-001
1.167862063356449e-002	2.013195e-001
1.168862063356449e-002	2.485468e-001
1.169862063356449e-002	3.002902e-001
1.170862063356449e-002	3.561639e-001
1.172862063356449e-002	4.785031e-001
1.174862063356449e-002	6.116574e-001
1.175862063356449e-002	6.810074e-001
1.176862063356449e-002	7.515209e-001
1.177249668835470e-002	7.790426e-001
1.177439777697617e-002	7.925555e-001
1.177611367022127e-002	8.047473e-001
1.177705298444073e-002	8.114089e-001
1.177790723285051e-002	8.174505e-001
1.177848948114299e-002	8.215493e-001
1.177895146095011e-002	8.247820e-001
1.177933463632671e-002	8.274436e-001
1.177966735581035e-002	8.297357e-001
1.178038770985205e-002	8.346443e-001
1.178093699409707e-002	8.383658e-001
1.178153585985820e-002	8.424306e-001
1.178211067586286e-002	8.463437e-001
1.178288025770886e-002	8.515871e-001
1.178586918929634e-002	8.719600e-001
1.178625152487769e-002	8.733396e-001
1.178678600748492e-002	8.740025e-001
1.178708128899318e-002	8.743019e-001
1.178744386831104e-002	8.746557e-001
1.178816902694675e-002	8.753193e-001
1.178961934421817e-002	8.765474e-001
1.179188651301468e-002	8.783353e-001
1.179482778307510e-002	8.805345e-001
1.179925552506051e-002	8.837117e-001
1.180541898997695e-002	8.879897e-001
1.181401727400619e-002	8.938043e-001
1.182401727400619e-002	9.004394e-001
1.184401727400619e-002	9.134893e-001
1.186401727400619e-002	9.263323e-001
1.188401727400619e-002	9.391432e-001
1.190401727400619e-002	9.519204e-001
1.192401727400618e-002	9.646619e-001
1.194401727400618e-002	9.773660e-001
1.196401727400618e-002	9.900309e-001
1.198401727400618e-002	1.002655e+000
1.211401727400618e-002	1.084823e+000
1.224401727400617e-002	1.166547e+000
1.237401727400617e-002	1.247538e+000
1.250401727400616e-002	1.327519e+000
1.263401727400616e-002	1.406221e+000
1.276401727400615e-002	1.483391e+000
1.289401727400615e-002	1.558784e+000
1.306401727400614e-002	1.653445e+000
1.307401727400614e-002	1.658869e+000
1.308401727400614e-002	1.664277e+000
1.309401727400614e-002	1.669666e+000
1.310401727400614e-002	1.675034e+000
1.311401727400614e-002	1.680382e+000
1.312401727400614e-002	1.685712e+000
1.313401727400614e-002	1.691025e+000
1.314401727400614e-002	1.696320e+000
1.315401727400613e-002	1.701597e+000
1.316401727400613e-002	1.706856e+000
1.317401727400613e-002	1.712097e+000
1.318401727400613e-002	1.717319e+000
1.319401727400613e-002	1.722522e+000
1.334973155972041e-002	1.801387e+000
1.350544584543469e-002	1.874777e+000
1.366116013114897e-002	1.942319e+000
1.381687441686325e-002	2.003673e+000
1.397258870257753e-002	2.058535e+000
1.412830298829181e-002	2.106637e+000
1.428401727400609e-002	2.147748e+000
1.444401727400608e-002	2.181770e+000
1.460401727400608e-002	2.207388e+000
1.476401727400607e-002	2.224467e+000
1.492401727400606e-002	2.232914e+000
1.508401727400606e-002	2.232684e+000
1.524401727400605e-002	2.223779e+000
1.540401727400604e-002	2.206247e+000
1.552973155972032e-002	2.186353e+000
1.565544584543461e-002	2.161424e+000
1.578116013114889e-002	2.131537e+000
1.590687441686316e-002	2.096792e+000
1.603258870257745e-002	2.057300e+000
1.615830298829173e-002	2.013192e+000
1.628401727400601e-002	1.964614e+000
1.642401727400600e-002	1.905521e+000
1.656401727400600e-002	1.842017e+000
1.670401727400599e-002	1.774342e+000
1.684401727400598e-002	1.702756e+000
1.698401727400598e-002	1.627542e+000
1.712401727400597e-002	1.548998e+000
1.726401727400597e-002	1.467447e+000
1.736687441686310e-002	1.406167e+000
1.746973155972025e-002	1.344031e+000
1.757258870257738e-002	1.281158e+000
1.767544584543452e-002	1.217672e+000
1.777830298829166e-002	1.153702e+000
1.788116013114880e-002	1.089380e+000
1.798401727400594e-002	1.024841e+000
1.805544584543451e-002	9.801293e-001
1.812687441686307e-002	9.355845e-001
1.819830298829164e-002	8.912466e-001
1.826973155972021e-002	8.471562e-001
1.834116013114878e-002	8.033544e-001
1.841258870257735e-002	7.598830e-001
1.848401727400592e-002	7.167844e-001
1.853401727400592e-002	6.869120e-001
1.858401727400591e-002	6.573053e-001
1.863401727400591e-002	6.279774e-001
1.868401727400591e-002	5.989414e-001
1.873401727400591e-002	5.702107e-001
1.878401727400591e-002	5.417987e-001
1.883401727400590e-002	5.137189e-001
1.886830298829162e-002	4.946780e-001
1.890258870257733e-002	4.758161e-001
1.893687441686304e-002	4.571373e-001
1.897116013114876e-002	4.386459e-001
1.900544584543447e-002	4.203462e-001
1.903973155972018e-002	4.022424e-001
1.907401727400589e-002	3.843390e-001
1.909830298829161e-002	3.717846e-001
1.912258870257732e-002	3.593369e-001
1.914687441686303e-002	3.469976e-001
1.917116013114875e-002	3.347684e-001
1.919544584543446e-002	3.226508e-001
1.921973155972017e-002	3.106465e-001
1.924401727400589e-002	2.987571e-001
1.927401727400589e-002	2.842327e-001
1.930401727400588e-002	2.698903e-001
1.933401727400588e-002	2.557333e-001
1.936401727400588e-002	2.417651e-001
1.938401727400588e-002	2.325594e-001
1.940401727400588e-002	2.234401e-001
1.942401727400588e-002	2.144081e-001
1.944401727400588e-002	2.054645e-001
1.946401727400588e-002	1.966102e-001
1.948401727400588e-002	1.878464e-001
1.949401727400588e-002	1.834987e-001
1.950401727400588e-002	1.791740e-001
1.951401727400588e-002	1.748725e-001
1.952401727400588e-002	1.705942e-001
1.953401727400587e-002	1.663393e-001
1.954401727400587e-002	1.621079e-001
1.955401727400587e-002	1.579002e-001
1.956401727400587e-002	1.537163e-001
1.957401727400587e-002	1.495564e-001
1.958401727400587e-002	1.454206e-001
1.959401727400587e-002	1.413091e-001
1.960401727400587e-002	1.372219e-001
1.961401727400587e-002	1.331594e-001
1.962401727400587e-002	1.291215e-001
1.963401727400587e-002	1.251086e-001
1.964401727400587e-002	1.211207e-001
1.965401727400587e-002	1.171581e-001
1.966401727400587e-002	1.132208e-001
1.967401727400587e-002	1.093092e-001
1.968401727400587e-002	1.054233e-001
1.969401727400587e-002	1.015635e-001
1.970401727400587e-002	9.772977e-002
